,nonsense,arabic,english 
1308,ولكنها 0000,ولكنها ,But
1309,السلاح 0000,السلاح ,Arms
1310,نبدأ 0000,نبدأ ,We start
1311,هدية 0000,هدية ,gift
1312,وجدنا 0000,وجدنا ,We found
1313,أذا 0000,أذا ,if
1314,مثيرة 0000,مثيرة ,Exciting
1315,نعمل 0000,نعمل ,We do
1316,لاحقا 0000,لاحقا ,Later
1317,فهذا 0000,فهذا ,This is
1318,غريبة 0000,غريبة ,Strange
1319,بيلي 0000,بيلي ,Bic
1320,دور 0000,دور ,Role
1321,الثالث 0000,الثالث ,Third
1322,ويل 0000,ويل ,Woe
1323,جعل 0000,جعل ,make
1324,وهم 0000,وهم ,delusion
1325,بالله 0000,بالله ,God
1326,الهراء 0000,الهراء ,Nonsense
1327,سلاح 0000,سلاح ,a weapon
1328,الخلف 0000,الخلف ,Back
1329,قريبا 0000,قريبا ,almost
1330,قطع 0000,قطع ,to cut
1331,أنكم 0000,أنكم ,You are
1332,سنقوم 0000,سنقوم ,We will rise
1333,حبيبي 0000,حبيبي ,Darling
1334,أمريكا 0000,أمريكا ,America
1335,كلانا 0000,كلانا ,both of us
1336,الكفاية 0000,الكفاية ,Adequacy
1337,â 0000,â ,â
1338,مايرام 0000,مايرام ,Okay
1339,الأمن 0000,الأمن ,Security
1340,خرجت 0000,خرجت ,I went out
1341,مارك 0000,مارك ,Mark
1342,وإلا 0000,وإلا ,Otherwise
1343,نبحث 0000,نبحث ,We are looking
1344,لديكم 0000,لديكم ,You have
1345,الفيلم 0000,الفيلم ,the film
1346,مريض 0000,مريض ,Sick
1347,لوس 0000,لوس ,Los
1348,الصوت 0000,الصوت ,the sound
1349,أتصل 0000,أتصل ,Call
1350,قوية 0000,قوية ,Powerful
1351,وكنت 0000,وكنت ,I was
1352,الشاب 0000,الشاب ,the guy
1353,الجميلة 0000,الجميلة ,the beautiful
1354,ألن 0000,ألن ,Aller
1355,المتحدة 0000,المتحدة ,United
1356,عادة 0000,عادة ,usually
1357,طريقي 0000,طريقي ,Route
1358,شعور 0000,شعور ,Feeling
1359,سأتصل 0000,سأتصل ,I will call
1360,أخشى 0000,أخشى ,Be afraid
1361,أراد 0000,أراد ,want
1362,فهم 0000,فهم ,Understanding
1363,وذلك 0000,وذلك ,And that
1364,ارى 0000,ارى ,I see
1365,معظم 0000,معظم ,Most
1366,الكرة 0000,الكرة ,the ball
1367,التعامل 0000,التعامل ,Interaction
1368,نخرج 0000,نخرج ,We get out
1369,سماع 0000,سماع ,Hearing
1370,رائحة 0000,رائحة ,going
1371,أهلا 0000,أهلا ,Hello
1372,السيارات 0000,السيارات ,the cars
1373,العجوز 0000,العجوز ,Elderly
1374,ولو 0000,ولو ,Even
1375,أعدك 0000,أعدك ,I promise you
1376,السرير 0000,السرير ,the bed
1377,ليسوا 0000,ليسوا ,They are not
1378,درجة 0000,درجة ,Degree
1379,مثلي 0000,مثلي ,Like me
1380,تصل 0000,تصل ,Reach
1381,بالمناسبة 0000,بالمناسبة ,Incidentally
1382,المبنى 0000,المبنى ,Building
1383,المستقبل 0000,المستقبل ,the future
1384,زوجته 0000,زوجته ,His wife
1385,مال 0000,مال ,money
1386,شون 0000,شون ,Shun
1387,ماهذا 0000,ماهذا ,What is it
1388,الثالثة 0000,الثالثة ,Third
1389,عملت 0000,عملت ,I worked
1390,فجأة 0000,فجأة ,suddenly
1391,واحده 0000,واحده ,one
1392,تتذكر 0000,تتذكر ,Remember
1393,تناول 0000,تناول ,Eaten
1394,أحضرت 0000,أحضرت ,I brought
1395,المسيح 0000,المسيح ,The messiah
1396,أترى 0000,أترى ,Do you see
1397,وجهك 0000,وجهك ,your face
1398,قادمة 0000,قادمة ,coming
1399,أريده 0000,أريده ,want it
1400,حسب 0000,حسب ,According to
1401,والدتك 0000,والدتك ,your mom
1402,المهمة 0000,المهمة ,the mission
1403,لان 0000,لان ,Because
1404,تعد 0000,تعد ,Prepare
1405,موجودة 0000,موجودة ,present
1406,نحصل 0000,نحصل ,We get
1407,كريس 0000,كريس ,Chris
1408,تمزح 0000,تمزح ,Joke
1409,لربما 0000,لربما ,Perhaps
1410,المياه 0000,المياه ,Water
1411,النظام 0000,النظام ,the system
1412,يفعله 0000,يفعله ,Do it
1413,سخيف 0000,سخيف ,silly
1414,وصل 0000,وصل ,receipt
1415,السلامة 0000,السلامة ,safety
1416,وجهي 0000,وجهي ,My face
1417,الموسم 0000,الموسم ,season
1418,مذهل 0000,مذهل ,just awesome
1419,الأب 0000,الأب ,the father
1420,نعود 0000,نعود ,We return
1421,يأخذ 0000,يأخذ ,Takes
1422,اللعب 0000,اللعب ,Play
1423,وقال 0000,وقال ,And he said
1424,تتحدثين 0000,تتحدثين ,You are talking
1425,رغم 0000,رغم ,despite
1426,الانتظار 0000,الانتظار ,Waiting
1427,أيمكنك 0000,أيمكنك ,Can you
1428,ھ 0000,ھ ,E
1429,الرقص 0000,الرقص ,Dance
1430,محقة 0000,محقة ,Right
1431,أعتذر 0000,أعتذر ,I apologize
1432,القبض 0000,القبض ,Arrest
1433,بقدر 0000,بقدر ,As much
1434,تتكلم 0000,تتكلم ,she speaks
1435,هاتف 0000,هاتف ,phone
1436,شعر 0000,شعر ,Poetry
1437,ريتشارد 0000,ريتشارد ,Richard
1438,والتي 0000,والتي ,Which
1439,يخرج 0000,يخرج ,Out
1440,أختي 0000,أختي ,My sister
1441,اننى 0000,اننى ,I am
1442,يظهر 0000,يظهر ,He appears
1443,المحقق 0000,المحقق ,Investigator
1444,ملابس 0000,ملابس ,Clothes
1445,مجنونة 0000,مجنونة ,crazy
1446,يهتم 0000,يهتم ,Cares about
1447,صديقة 0000,صديقة ,Girlfriend
1448,ابنتي 0000,ابنتي ,My daughter
1449,الطاقة 0000,الطاقة ,energy
1450,كلب 0000,كلب ,dog
1451,ستعمل 0000,ستعمل ,You will work
1452,فعلتها 0000,فعلتها ,I did
1453,آل 0000,آل ,The
1454,لنفسك 0000,لنفسك ,For yourself
1455,لطالما 0000,لطالما ,As long as
1456,الغداء 0000,الغداء ,the lunch
1457,اليك 0000,اليك ,To
1458,إسمع 0000,إسمع ,Listen
1459,لندن 0000,لندن ,London
1460,تجعل 0000,تجعل ,Make
1461,بان 0000,بان ,Pas
1462,اثنين 0000,اثنين ,two
1463,متأخر 0000,متأخر ,late
1464,مدرسة 0000,مدرسة ,School
1465,أسبوع 0000,أسبوع ,week
1466,بيتي 0000,بيتي ,my house
1467,الظلام 0000,الظلام ,the darkness
1468,القاضي 0000,القاضي ,the judge
1469,نحاول 0000,نحاول ,we try
1470,وسط 0000,وسط ,Center
1471,يملك 0000,يملك ,Owns
1472,سمحت 0000,سمحت ,Allowed
1473,المهم 0000,المهم ,the important
1474,يجعلك 0000,يجعلك ,make you
1475,يصل 0000,يصل ,Reaches
1476,تظهر 0000,تظهر ,Appear
1477,بيني 0000,بيني ,Betni
1478,تقولين 0000,تقولين ,You say
1479,ستيف 0000,ستيف ,Steve
1480,جانب 0000,جانب ,side
1481,إحدى 0000,إحدى ,one
1482,قلب 0000,قلب ,heart
1483,للبيت 0000,للبيت ,Home
1484,جنون 0000,جنون ,Madness
1485,الولايات 0000,الولايات ,the states
1486,تي 0000,تي ,T
1487,يدك 0000,يدك ,Your hand
1488,طعام 0000,طعام ,food
1489,لرؤية 0000,لرؤية ,To see
1490,الضوء 0000,الضوء ,the light
1491,تتحرك 0000,تتحرك ,Move
1492,تهتم 0000,تهتم ,care
1493,قررت 0000,قررت ,she decided
1494,يعرفون 0000,يعرفون ,They know
1495,كنتم 0000,كنتم ,You were
1496,اتصلت 0000,اتصلت ,I called
1497,رأس 0000,رأس ,head
1498,العملية 0000,العملية ,the operation
1499,بطاقة 0000,بطاقة ,Card
1500,التلفاز 0000,التلفاز ,the television
1501,بداية 0000,بداية ,beginning
1502,يبقى 0000,يبقى ,Remains
1503,أخبريني 0000,أخبريني ,Tell me
1504,أقوله 0000,أقوله ,I say it
1505,الشعر 0000,الشعر ,Poetry
1506,وإن 0000,وإن ,and that
1507,ولماذا 0000,ولماذا ,And why
1508,مزيد 0000,مزيد ,More
1509,الأعلى 0000,الأعلى ,the above
1510,اليه 0000,اليه ,mechanism
1511,الرسالة 0000,الرسالة ,the message
1512,دفع 0000,دفع ,Pay
1513,مستعدة 0000,مستعدة ,ready
1514,s 0000,s ,s
1515,الحكومة 0000,الحكومة ,the government
1516,قمنا 0000,قمنا ,We did
1517,اردت 0000,اردت ,I wanted
1518,أجلي 0000,أجلي ,Evangelical
1519,واثق 0000,واثق ,Confident
1520,ساعدني 0000,ساعدني ,help me
1521,تغير 0000,تغير ,change
1522,تريدني 0000,تريدني ,You want me
1523,اذهبي 0000,اذهبي ,Go
1524,هاري 0000,هاري ,Harry
1525,روبرت 0000,روبرت ,Robert
1526,الرغم 0000,الرغم ,Thus
1527,الفندق 0000,الفندق ,the hotel
1528,أصدقائي 0000,أصدقائي ,my friends
1529,كاملة 0000,كاملة ,perfect
1530,إنتهى 0000,إنتهى ,is over
1531,حل 0000,حل ,Solution
1532,معكم 0000,معكم ,With you
1533,الأم 0000,الأم ,the mother
1534,الحيوانات 0000,الحيوانات ,the animals
1535,طيب 0000,طيب ,good
1536,فهي 0000,فهي ,Be
1537,سأقول 0000,سأقول ,I will say
1538,للذهاب 0000,للذهاب ,To go
1539,الرقم 0000,الرقم ,the number
1540,الآنسة 0000,الآنسة ,Miss
1541,وهناك 0000,وهناك ,There
1542,أتفهم 0000,أتفهم ,I understand
1543,تومي 0000,تومي ,Tommy
1544,القطار 0000,القطار ,the train
1545,سكوت 0000,سكوت ,Scott
1546,تشعرين 0000,تشعرين ,You feel
1547,أتعرفين 0000,أتعرفين ,You know
1548,مـا 0000,مـا ,What
1549,to 0000,to ,To
1550,هاي 0000,هاي ,Hi
1551,الأسئلة 0000,الأسئلة ,questions
1552,يدعى 0000,يدعى ,he claims
1553,آمن 0000,آمن ,security
1554,القتال 0000,القتال ,Fighting
1555,حب 0000,حب ,Love
1556,يمكنهم 0000,يمكنهم ,They can
1557,لحم 0000,لحم ,Meat
1558,قوله 0000,قوله ,Saying
1559,دان 0000,دان ,Condemn
1560,شخصية 0000,شخصية ,Character
1561,تسمع 0000,تسمع ,Listen
1562,الخطة 0000,الخطة ,the plan
1563,شرطي 0000,شرطي ,policeman
1564,يدي 0000,يدي ,my hand
1565,صور 0000,صور ,photo
1566,رأسي 0000,رأسي ,my head
1567,أليكس 0000,أليكس ,Alex
1568,كيفية 0000,كيفية ,How to
1569,عظيمة 0000,عظيمة ,Great
1570,بسيط 0000,بسيط ,basic
1571,أعيش 0000,أعيش ,I live
1572,جاد 0000,جاد ,serious
1573,وصلنا 0000,وصلنا ,We arrived
1574,ملك 0000,ملك ,king
1575,فتيات 0000,فتيات ,girls
1576,يشعر 0000,يشعر ,Feel
1577,أشكرك 0000,أشكرك ,I thank you
1578,بوبي 0000,بوبي ,Bobby
1579,والتر 0000,والتر ,Wall
1580,الأعمال 0000,الأعمال ,Business
1581,دماء 0000,دماء ,Blood
1582,القدم 0000,القدم ,Foot
1583,الغابة 0000,الغابة ,Woods
1584,المدير 0000,المدير ,Director
1585,حرب 0000,حرب ,war
1586,استخدام 0000,استخدام ,Use
1587,اكن 0000,اكن ,I am
1588,ثمة 0000,ثمة ,There is
1589,عمله 0000,عمله ,Currency
1590,أبدو 0000,أبدو ,Appear
1591,امر 0000,امر ,Command
1592,تضع 0000,تضع ,Put
1593,أبى 0000,أبى ,My Father
1594,اتمنى 0000,اتمنى ,I wish
1595,أيمكنني 0000,أيمكنني ,I can
1596,فـي 0000,فـي ,In
1597,مثلما 0000,مثلما ,as
1598,الأولاد 0000,الأولاد ,Boys
1599,بالعمل 0000,بالعمل ,To work
1600,سأخبرك 0000,سأخبرك ,I will tell you
1601,وربما 0000,وربما ,Perhaps
1602,العمر 0000,العمر ,the age
1603,الرائع 0000,الرائع ,Amazing
1604,خاطئ 0000,خاطئ ,wrong
1605,كـ 0000,كـ ,As
1606,حصلنا 0000,حصلنا ,We got
1607,تقوله 0000,تقوله ,You say
1608,قلق 0000,قلق ,Worry
1609,اللحم 0000,اللحم ,the meat
1610,شراب 0000,شراب ,drink
1611,بن 0000,بن ,The son of
1612,مسألة 0000,مسألة ,Issue
1613,بعضهم 0000,بعضهم ,Some of them
1614,تتوقف 0000,تتوقف ,Stop
1615,موافقة 0000,موافقة ,consent
1616,أرسل 0000,أرسل ,Send
1617,الشيطان 0000,الشيطان ,evil
1618,أدخل 0000,أدخل ,Enter
1619,ألديك 0000,ألديك ,Your father
1620,تتصل 0000,تتصل ,Call
1621,فكر 0000,فكر ,thought
1622,خدمة 0000,خدمة ,service
1623,by 0000,by ,By
1624,سرقة 0000,سرقة ,theft
1625,أ 0000,أ ,a
1626,باريس 0000,باريس ,Paris
1627,القمر 0000,القمر ,the moon
1628,ستذهب 0000,ستذهب ,you will go
1629,تنتهي 0000,تنتهي ,End
1630,تاريخ 0000,تاريخ ,Date
1631,معذرة 0000,معذرة ,Sorry
1632,تقولي 0000,تقولي ,Say
1633,أراهن 0000,أراهن ,I bet
1634,أبقى 0000,أبقى ,Keep
1635,كلير 0000,كلير ,Chin
1636,عاهرة 0000,عاهرة ,whore
1637,دين 0000,دين ,religion
1638,آي 0000,آي ,Which
1639,هاه 0000,هاه ,Huh
1640,ثمن 0000,ثمن ,price
1641,الدفاع 0000,الدفاع ,Defense
1642,أتريدين 0000,أتريدين ,You want
1643,ليلي 0000,ليلي ,Layla
1644,سيئ 0000,سيئ ,bad
1645,عد 0000,عد ,counting
1646,المفضل 0000,المفضل ,the favorite
1647,بالإضافة 0000,بالإضافة ,In addition
1648,قالوا 0000,قالوا ,They said
1649,الكنيسة 0000,الكنيسة ,the church
1650,البلاد 0000,البلاد ,Country
1651,ومع 0000,ومع ,With
1652,سيتم 0000,سيتم ,Will
1653,قوي 0000,قوي ,strong
1654,اهلا 0000,اهلا ,Hello
1655,بأمان 0000,بأمان ,Safely
1656,جاهزة 0000,جاهزة ,Ready
1657,حماية 0000,حماية ,protection
1658,اسمها 0000,اسمها ,Her name
1659,الصف 0000,الصف ,Class
1660,خط 0000,خط ,Line
1661,التالية 0000,التالية ,next
1662,لنرى 0000,لنرى ,Let's see
1663,الكل 0000,الكل ,All
1664,أثق 0000,أثق ,Make up
1665,الكلمات 0000,الكلمات ,the words
1666,حالما 0000,حالما ,as soon as
1667,تسير 0000,تسير ,going
1668,الشراب 0000,الشراب ,the drink
1669,الجميل 0000,الجميل ,Beautiful
1670,اجلس 0000,اجلس ,sat down
1671,تعرفي 0000,تعرفي ,Know
1672,منى 0000,منى ,Mona
1673,الأسلحة 0000,الأسلحة ,Weapons
1674,جيري 0000,جيري ,Limestone
1675,جوني 0000,جوني ,Johnny
1676,الشاحنة 0000,الشاحنة ,truck
1677,واو 0000,واو ,wow
1678,بمجرد 0000,بمجرد ,Once
1679,أراه 0000,أراه ,I see it
1680,كارل 0000,كارل ,Karl
1681,لشخص 0000,لشخص ,For a person
1682,أربع 0000,أربع ,Four
1683,الأبيض 0000,الأبيض ,the White
1684,السرعة 0000,السرعة ,the speed
1685,تظنين 0000,تظنين ,You think
1686,الأحيان 0000,الأحيان ,Sometimes
1687,سبعة 0000,سبعة ,Seven
1688,أمور 0000,أمور ,Matters
1689,الصندوق 0000,الصندوق ,box
1690,طائرة 0000,طائرة ,airplane
1691,السادة 0000,السادة ,Gentlemen
1692,تدخل 0000,تدخل ,intervention
1693,مساعدتي 0000,مساعدتي ,Help me
1694,التحكم 0000,التحكم ,control
1695,روز 0000,روز ,Rose
1696,التاريخ 0000,التاريخ ,Date
1697,الافضل 0000,الافضل ,Better
1698,it 0000,it ,It
1699,التوقف 0000,التوقف ,Stop
1700,لله 0000,لله ,Allah
1701,الألم 0000,الألم ,the pain
1702,الفكرة 0000,الفكرة ,The idea
1703,إعتقدت 0000,إعتقدت ,I believed
1704,حضرة 0000,حضرة ,presence
1705,مشاهدة 0000,مشاهدة ,Watch
1706,الضحية 0000,الضحية ,Victim
1707,آلاف 0000,آلاف ,Thousand
1708,الجلوس 0000,الجلوس ,Sitting
1709,شارع 0000,شارع ,Street
1710,دانيال 0000,دانيال ,Daniel
1711,بالرغم 0000,بالرغم ,Though
1712,كابتن 0000,كابتن ,captain
1713,جيده 0000,جيده ,Good
1714,الشباب 0000,الشباب ,Young
1715,مرتين 0000,مرتين ,twice
1716,الثانوية 0000,الثانوية ,high school
1717,يوما 0000,يوما ,Day
1718,بوسعي 0000,بوسعي ,Premature
1719,وعلى 0000,وعلى ,and on
1720,طبيعي 0000,طبيعي ,natural
1721,انتهت 0000,انتهت ,Expired
1722,زوج 0000,زوج ,Husband
1723,يرى 0000,يرى ,be seen
1724,دخلت 0000,دخلت ,I entered
1725,الإنتظار 0000,الإنتظار ,Waiting
1726,موافق 0000,موافق ,OK
1727,صفقة 0000,صفقة ,Deal
1728,مناسب 0000,مناسب ,Appropriate
1729,مشغول 0000,مشغول ,Busy
1730,فندق 0000,فندق ,hotel
1731,حامل 0000,حامل ,pregnant
1732,طريقه 0000,طريقه ,method
1733,بناء 0000,بناء ,Building
1734,بلدي 0000,بلدي ,My country
1735,ميتة 0000,ميتة ,Dead
1736,المفتاح 0000,المفتاح ,the key
1737,سيارتي 0000,سيارتي ,My car
1738,ماهي 0000,ماهي ,what is it
1739,سان 0000,سان ,San
1740,كايل 0000,كايل ,Kyle
1741,شكل 0000,شكل ,appearance
1742,زمن 0000,زمن ,time
1743,الرحيل 0000,الرحيل ,Departure
1744,القبيل 0000,القبيل ,Tribe
1745,يجعلني 0000,يجعلني ,makes me
1746,أعمال 0000,أعمال ,Business
1747,يقتل 0000,يقتل ,Kills
1748,نصل 0000,نصل ,blade
1749,سهل 0000,سهل ,easy
1750,كهذه 0000,كهذه ,Like this
1751,اقصد 0000,اقصد ,I mean
1752,صنع 0000,صنع ,Manufacture
1753,نوعا 0000,نوعا ,something like
1754,المسدس 0000,المسدس ,Pistol
1755,صح 0000,صح ,true
1756,الشخصية 0000,الشخصية ,Personal
1757,هـل 0000,هـل ,Have
1758,فرقة 0000,فرقة ,Squad
1759,غاضبة 0000,غاضبة ,Angry
1760,تعرفه 0000,تعرفه ,You know it
1761,الدرجة 0000,الدرجة ,Degree
1762,بالقرب 0000,بالقرب ,Near
1763,خير 0000,خير ,Good
1764,إبن 0000,إبن ,Son
1765,كنتي 0000,كنتي ,You were
1766,سو 0000,سو ,Soo
1767,موت 0000,موت ,death
1768,الأسود 0000,الأسود ,the black
1769,الرئيسي 0000,الرئيسي ,the main
1770,قتله 0000,قتله ,killers
1771,النجدة 0000,النجدة ,Rescue
1772,خذي 0000,خذي ,Take
1773,يارفاق 0000,يارفاق ,you guys
1774,صديقتي 0000,صديقتي ,My girlfriend
1775,الحقيقية 0000,الحقيقية ,Real
1776,توني 0000,توني ,Tony
1777,تفعلينه 0000,تفعلينه ,Do it
1778,يومين 0000,يومين ,Two days
1779,أحسنت 0000,أحسنت ,I did well
1780,منزلك 0000,منزلك ,Your home
1781,إتفقنا 0000,إتفقنا ,We agreed
1782,تكذب 0000,تكذب ,Deny
1783,l 0000,l ,L
1784,بقية 0000,بقية ,Rest
1785,افكر 0000,افكر ,think
1786,لعين 0000,لعين ,Cursed
1787,وجد 0000,وجد ,is found
1788,شخصا 0000,شخصا ,Person
1789,أمل 0000,أمل ,hopefull
1790,دخل 0000,دخل ,Enter
1791,وداعا 0000,وداعا ,Farewell
1792,يبحث 0000,يبحث ,seek
1793,لكنهم 0000,لكنهم ,But they are
1794,أقدر 0000,أقدر ,I can
1795,يبدأ 0000,يبدأ ,Started
1796,آخذ 0000,آخذ ,Taking
1797,قادر 0000,قادر ,able
1798,عميل 0000,عميل ,client
1799,ذاهبة 0000,ذاهبة ,going
1800,بشأنه 0000,بشأنه ,About it
1801,تلعب 0000,تلعب ,Play
1802,وحدة 0000,وحدة ,lonliness
1803,تقدم 0000,تقدم ,progress
1804,استمع 0000,استمع ,Listen
1805,مـاذا 0000,مـاذا ,What
1806,شراء 0000,شراء ,Buy
1807,الرحلة 0000,الرحلة ,the trip
1808,جميعنا 0000,جميعنا ,All of us
1809,تطلب 0000,تطلب ,Ask
1810,أقرب 0000,أقرب ,closer
1811,نادي 0000,نادي ,club
1812,السلام 0000,السلام ,Peace
1813,ستكونين 0000,ستكونين ,You will be
1814,خطير 0000,خطير ,dangerous
1815,طول 0000,طول ,Length
1816,أتعتقد 0000,أتعتقد ,Do you think
1817,جاي 0000,جاي ,Jay
1818,تمانع 0000,تمانع ,Objection
1819,السيدات 0000,السيدات ,Ladies
1820,قرأت 0000,قرأت ,I read
1821,يمكنكم 0000,يمكنكم ,You can
1822,الزفاف 0000,الزفاف ,wedding
1823,عطلة 0000,عطلة ,vacation
1824,الليله 0000,الليله ,Tonight
1825,فيل 0000,فيل ,Elephant
1826,الملازم 0000,الملازم ,Lieutenant
1827,يد 0000,يد ,hand
1828,اقوم 0000,اقوم ,I do
1829,احاول 0000,احاول ,I'm trying
1830,أتوقع 0000,أتوقع ,I expect
1831,مجال 0000,مجال ,area
1832,باب 0000,باب ,Door
1833,للخروج 0000,للخروج ,To go out
1834,هنـا 0000,هنـا ,Here
1835,الجو 0000,الجو ,Atmosphere
1836,شاب 0000,شاب ,guy
1837,العظيم 0000,العظيم ,Great
1838,الولد 0000,الولد ,the boy
1839,يتوجب 0000,يتوجب ,It is necessary
1840,جوي 0000,جوي ,aerial
1841,قاموا 0000,قاموا ,They did
1842,بالأمس 0000,بالأمس ,Yesterday
1843,and 0000,and ,And
1844,هيه 0000,هيه ,Hey
1845,للحظة 0000,للحظة ,for a bit
1846,توقفوا 0000,توقفوا ,Stop
1847,زوجك 0000,زوجك ,your husband
1848,أولاد 0000,أولاد ,children
1849,عائلتك 0000,عائلتك ,your family
1850,ذالك 0000,ذالك ,So
1851,حياتنا 0000,حياتنا ,Our life
1852,جيني 0000,جيني ,Genetic
1853,الزمن 0000,الزمن ,Time
1854,الشهر 0000,الشهر ,the month
1855,النافذة 0000,النافذة ,the window
1856,وكانت 0000,وكانت ,And it was
1857,عمي 0000,عمي ,My uncle
1858,لأحد 0000,لأحد ,To
1859,فيك 0000,فيك ,in you
1860,ترين 0000,ترين ,You see
1861,ريد 0000,ريد ,Raid
1862,الضغط 0000,الضغط ,the pressure
1863,الثلج 0000,الثلج ,the snow
1864,ابقى 0000,ابقى ,Keep
1865,أمى 0000,أمى ,Mom
1866,قائد 0000,قائد ,leader
1867,شك 0000,شك ,Doubt
1868,تنتظر 0000,تنتظر ,Await
1869,وكذلك 0000,وكذلك ,As well
1870,والدتي 0000,والدتي ,My mother
1871,موضوع 0000,موضوع ,Theme
1872,تعالى 0000,تعالى ,Come here
1873,ا 0000,ا ,a
1874,آسفه 0000,آسفه ,sorry
1875,محظوظ 0000,محظوظ ,lucky
1876,أقوى 0000,أقوى ,more powerful
1877,ثمانية 0000,ثمانية ,eight
1878,الكلمة 0000,الكلمة ,Word
1879,تقرير 0000,تقرير ,a report
1880,للخارج 0000,للخارج ,Abroad
1881,توماس 0000,توماس ,Thomas
1882,الغبي 0000,الغبي ,Stupid
1883,توقفت 0000,توقفت ,I stopped
1884,داعي 0000,داعي ,caller to
1885,رباه 0000,رباه ,Rant
1886,مدير 0000,مدير ,boss
1887,الأحمر 0000,الأحمر ,the Red
1888,يفعلون 0000,يفعلون ,They do
1889,لوك 0000,لوك ,Lock
1890,قديم 0000,قديم ,Old
1891,والد 0000,والد ,father
1892,أقدم 0000,أقدم ,Premature
1893,الطاولة 0000,الطاولة ,Table
1894,خرج 0000,خرج ,went out
1895,النجوم 0000,النجوم ,stars
1896,تذهبي 0000,تذهبي ,Go
1897,سيأتي 0000,سيأتي ,Will come
1898,تحركوا 0000,تحركوا ,Stir
1899,سواء 0000,سواء ,whether
1900,أسألك 0000,أسألك ,I ask you
1901,وقعت 0000,وقعت ,Occurred
1902,الاسبوع 0000,الاسبوع ,the week
1903,سبيل 0000,سبيل ,Path
1904,انة 0000,انة ,it's a
1905,قليلة 0000,قليلة ,Few
1906,الفضاء 0000,الفضاء ,outer space
1907,ليو 0000,ليو ,Leo
1908,الخوف 0000,الخوف ,the fear
1909,سوية 0000,سوية ,Normal
1910,ببساطة 0000,ببساطة ,Simply
1911,رأيتها 0000,رأيتها ,her
1912,بالمنزل 0000,بالمنزل ,At home
1913,إما 0000,إما ,As for
1914,تيد 0000,تيد ,Ted
1915,غاضب 0000,غاضب ,Angry
1916,قيمة 0000,قيمة ,Values
1917,تأكيد 0000,تأكيد ,emphasis
1918,القدر 0000,القدر ,fate
1919,الحدود 0000,الحدود ,the border
1920,ذكر 0000,ذكر ,Mention
1921,الموقع 0000,الموقع ,Location
1922,بدا 0000,بدا ,seem
1923,أسئلة 0000,أسئلة ,Questions
1924,الخطب 0000,الخطب ,Speeches
1925,شديد 0000,شديد ,Intense
1926,محل 0000,محل ,Shop
1927,للهول 0000,للهول ,For the horror
1928,التحقيق 0000,التحقيق ,Investigation
1929,الأصدقاء 0000,الأصدقاء ,friends
1930,محطة 0000,محطة ,Station
1931,الأبد 0000,الأبد ,Forever
1932,الجامعة 0000,الجامعة ,the University
1933,آن 0000,آن ,that
1934,حادث 0000,حادث ,accident
1935,نيل 0000,نيل ,Nile
1936,فتح 0000,فتح ,to open
1937,الشاي 0000,الشاي ,Tea
1938,الترجمة 0000,الترجمة ,Translation
1939,الداخلية 0000,الداخلية ,Interior
1940,الضابط 0000,الضابط ,Officer
1941,تقصدين 0000,تقصدين ,You mean
1942,فلم 0000,فلم ,film
1943,فسوف 0000,فسوف ,It will
1944,علامة 0000,علامة ,Marker
1945,اسفة 0000,اسفة ,sorry
1946,تستخدم 0000,تستخدم ,Use
1947,المطبخ 0000,المطبخ ,Kitchen
1948,بإمكاننا 0000,بإمكاننا ,We can
1949,قهوة 0000,قهوة ,coffee
1950,مجلس 0000,مجلس ,board
1951,مفاجأة 0000,مفاجأة ,Surprise
1952,بضع 0000,بضع ,A few
1953,الجثة 0000,الجثة ,Corpse
1954,ولهذا 0000,ولهذا ,And for this
1955,آني 0000,آني ,that I
1956,اول 0000,اول ,first
1957,صعبة 0000,صعبة ,Difficult
1958,اريدك 0000,اريدك ,I want you
1959,تستحق 0000,تستحق ,Deserve
1960,يقومون 0000,يقومون ,They do
1961,تحديد 0000,تحديد ,Determine
1962,فمك 0000,فمك ,your mouth
1963,كلهم 0000,كلهم ,All of them
1964,الرأس 0000,الرأس ,Head
1965,الحالي 0000,الحالي ,Present
1966,الغريب 0000,الغريب ,the stranger
1967,كيت 0000,كيت ,Kate
1968,خطوة 0000,خطوة ,a step
1969,لفعل 0000,لفعل ,To do
1970,حركة 0000,حركة ,a movement
1971,إنظر 0000,إنظر ,Look
1972,ستقوم 0000,ستقوم ,You will do
1973,مكالمة 0000,مكالمة ,a call
1974,نفعله 0000,نفعله ,Do it
1975,بنفسه 0000,بنفسه ,By himself
1976,فان 0000,فان ,Vanity
1977,الكلاب 0000,الكلاب ,Dogs
1978,مقابلة 0000,مقابلة ,an interview
1979,قلقة 0000,قلقة ,Anxious
1980,حي 0000,حي ,Neighborhood
1981,آتي 0000,آتي ,came
1982,كتب 0000,كتب ,Wrote
1983,مكتبي 0000,مكتبي ,my office
1984,مضت 0000,مضت ,Go
1985,قصيرة 0000,قصيرة ,short
1986,العلاج 0000,العلاج ,treatment
1987,آلة 0000,آلة ,Machine
1988,الصيف 0000,الصيف ,the summer
1989,تحتاجين 0000,تحتاجين ,You need
1990,ترتدي 0000,ترتدي ,Wearing
1991,حقيبة 0000,حقيبة ,luggage
1992,الفوضى 0000,الفوضى ,Chaos
1993,إنتظري 0000,إنتظري ,Wait
