nonsense,arabic,english 
آنسة 00000,آنسة ,Ms
اتصل 00000,اتصل ,Call
الحقيقي 00000,الحقيقي ,Real
وعندما 00000,وعندما ,And when
حسن 00000,حسن ,Hassan
النظر 00000,النظر ,look
القليل 00000,القليل ,Little
فقدت 00000,فقدت ,Lost
أسرع 00000,أسرع ,faster
سأقوم 00000,سأقوم ,I will do
للعمل 00000,للعمل ,for work
البداية 00000,البداية ,the start
بتلك 00000,بتلك ,That
يريدون 00000,يريدون ,They want
معهم 00000,معهم ,With them
يارجل 00000,يارجل ,Hey man
المناسب 00000,المناسب ,the appropriate
كن 00000,كن ,Be
يتحدث 00000,يتحدث ,He speaks
لأي 00000,لأي ,for any
عشرة 00000,عشرة ,ten
يمكننى 00000,يمكننى ,I can
جئت 00000,جئت ,I came
مشاكل 00000,مشاكل ,Problems
الشمس 00000,الشمس ,the sun
يعود 00000,يعود ,Back
أبحث 00000,أبحث ,Search
ظ 00000,ظ ,P
السؤال 00000,السؤال ,the question
أحصل 00000,أحصل ,Get
ببعض 00000,ببعض ,Some
بنفسي 00000,بنفسي ,by myself
اه 00000,اه ,Uh
يفترض 00000,يفترض ,Supposedly
بعيدا 00000,بعيدا ,Away
تقصد 00000,تقصد ,You mean
بكثير 00000,بكثير ,Much
ستفعل 00000,ستفعل ,you will do
وانت 00000,وانت ,And you
جاء 00000,جاء ,came
فكرت 00000,فكرت ,I think
تبدين 00000,تبدين ,You look
سأعود 00000,سأعود ,I'll come back
الدخول 00000,الدخول ,Access
الدم 00000,الدم ,the blood
أطفال 00000,أطفال ,Children
شرطة 00000,شرطة ,police
الثاني 00000,الثاني ,Second
بول 00000,بول ,pee
المعلومات 00000,المعلومات ,the information
يعد 00000,يعد ,Prepare
الجانب 00000,الجانب ,the side
تحمل 00000,تحمل ,Bearing
أعود 00000,أعود ,I come back
جريمة 00000,جريمة ,a crime
أمس 00000,أمس ,yesterday
الآخرين 00000,الآخرين ,Others
محق 00000,محق ,Right
سؤال 00000,سؤال ,A question
بكم 00000,بكم ,with you
التالي 00000,التالي ,next one
كرة 00000,كرة ,a ball
اقول 00000,اقول ,I say
ترك 00000,ترك ,to leave
الكلام 00000,الكلام ,talk
الأيام 00000,الأيام ,the days
الجزء 00000,الجزء ,Section
الداخل 00000,الداخل ,Inside
جهاز 00000,جهاز ,device
قتلت 00000,قتلت ,I kill
أننى 00000,أننى ,I am
انتي 00000,انتي ,you
رجاء 00000,رجاء ,please
البحث 00000,البحث ,search
بضعة 00000,بضعة ,a few
هـذا 00000,هـذا ,This
الحلقة 00000,الحلقة ,the ring
لويس 00000,لويس ,Lewis
عما 00000,عما ,About
واضح 00000,واضح ,Clear
جين 00000,جين ,Gene
إننا 00000,إننا ,We are
مستعد 00000,مستعد ,ready
أسوأ 00000,أسوأ ,worst
القديمة 00000,القديمة ,Old
الوصول 00000,الوصول ,Access
قط 00000,قط ,Never
بيل 00000,بيل ,Bic
ماري 00000,ماري ,Marie
اسمي 00000,اسمي ,My name is
يقولون 00000,يقولون ,They say
المخدرات 00000,المخدرات ,Drugs
ستة 00000,ستة ,six
المستشفى 00000,المستشفى ,the hospital
سنذهب 00000,سنذهب ,we will go
توقفي 00000,توقفي ,Stop
زال 00000,زال ,Remove
ماكس 00000,ماكس ,Max
اللحظة 00000,اللحظة ,the moment
معا 00000,معا ,together
مختلف 00000,مختلف ,Different
يزال 00000,يزال ,Remove
صوت 00000,صوت ,voice
ب 00000,ب ,B
كامل 00000,كامل ,Full
فعلا 00000,فعلا ,Really
مضحك 00000,مضحك ,funny
بأننا 00000,بأننا ,That we
يحب 00000,يحب ,Likes
طبيب 00000,طبيب ,Doctor
نرى 00000,نرى ,We see
أخذت 00000,أخذت ,I took
خطر 00000,خطر ,Risk
بعمل 00000,بعمل ,Work
الجريمة 00000,الجريمة ,the crime
عالم 00000,عالم ,Scientist
أكره 00000,أكره ,I hate
عليكم 00000,عليكم ,on you
لأنها 00000,لأنها ,Because she
السماء 00000,السماء ,The sky
الاشياء 00000,الاشياء ,The things
مركز 00000,مركز ,center
غدا 00000,غدا ,tomorrow
قطعة 00000,قطعة ,Piece
المنطقة 00000,المنطقة ,Region
جيمي 00000,جيمي ,Jimmy
خاصة 00000,خاصة ,especially
هنري 00000,هنري ,Henry
زوجتك 00000,زوجتك ,Your wife
الشئ 00000,الشئ ,Bit
بلى 00000,بلى ,indeed
الصورة 00000,الصورة ,Image
مقابل 00000,مقابل ,Opposite
الخطأ 00000,الخطأ ,The error
تعيش 00000,تعيش ,Live
وهذه 00000,وهذه ,And this
أهتم 00000,أهتم ,Take care of
القائد 00000,القائد ,Leader
الطائرة 00000,الطائرة ,The Plane
الكتاب 00000,الكتاب ,the book
أنـا 00000,أنـا ,Anna
كثير 00000,كثير ,Many
السنة 00000,السنة ,the year
منتصف 00000,منتصف ,Middle
بإمكاني 00000,بإمكاني ,I can
الشارع 00000,الشارع ,Street
ميلاد 00000,ميلاد ,birthday
قضية 00000,قضية ,issue
الهواء 00000,الهواء ,Air
نفسها 00000,نفسها ,itself
أنتظر 00000,أنتظر ,wait
قم 00000,قم ,Stand up
موجود 00000,موجود ,Existing
طالما 00000,طالما ,as long
أطلب 00000,أطلب ,I request
مره 00000,مره ,Once
شباب 00000,شباب ,youths
الاتصال 00000,الاتصال ,Connection
شهر 00000,شهر ,Month
رأيته 00000,رأيته ,I saw him
ممتاز 00000,ممتاز ,excellent
حيال 00000,حيال ,About
القتل 00000,القتل ,the kill
سارة 00000,سارة ,pleasant
اتفقنا 00000,اتفقنا ,We agreed
أجد 00000,أجد ,I find
أأنت 00000,أأنت ,You
مفهوم 00000,مفهوم ,Concept
ابي 00000,ابي ,My Father
القادم 00000,القادم ,Next
مختلفة 00000,مختلفة ,Different
بإمكانك 00000,بإمكانك ,You can
يعيش 00000,يعيش ,He lives
الدكتور 00000,الدكتور ,Dr
الفريق 00000,الفريق ,the team
لفترة 00000,لفترة ,For a while
ينتهي 00000,ينتهي ,finish
المحتمل 00000,المحتمل ,Potential
البلدة 00000,البلدة ,the town
وأن 00000,وأن ,and that
لطيفة 00000,لطيفة ,Latifa
فعلها 00000,فعلها ,To do it
مازال 00000,مازال ,Still
القانون 00000,القانون ,Law
ابدا 00000,ابدا ,Start
قسم 00000,قسم ,Division
والذي 00000,والذي ,And that
فيلم 00000,فيلم ,Movie
ولكنني 00000,ولكنني ,But I am
جاهز 00000,جاهز ,Ready
مرات 00000,مرات ,Times
أحمق 00000,أحمق ,Foolish
بشدة 00000,بشدة ,Hardly
العرض 00000,العرض ,the offer
سنكون 00000,سنكون ,We will be
أولئك 00000,أولئك ,Those
حوالي 00000,حوالي ,around
قليل 00000,قليل ,a little
بوب 00000,بوب ,Bob
راي 00000,راي ,opinion
وبعدها 00000,وبعدها ,and then
لكننا 00000,لكننا ,But we
وجه 00000,وجه ,Face
تنظر 00000,تنظر ,Look
أقسم 00000,أقسم ,I swear
وهل 00000,وهل ,Is it?
الشعور 00000,الشعور ,Feeling
اسمعي 00000,اسمعي ,Listen
يعتقد 00000,يعتقد ,Believes
فلا 00000,فلا ,No
رحلة 00000,رحلة ,a trip
اللعبة 00000,اللعبة ,the game
القاتل 00000,القاتل ,the killer
عملي 00000,عملي ,my work
تفعلي 00000,تفعلي ,Treat
وكيف 00000,وكيف ,And how
شعرت 00000,شعرت ,I felt
داني 00000,داني ,Condemned
دليل 00000,دليل ,Evidence
الصور 00000,الصور ,Pictures
الصحيح 00000,الصحيح ,the correct
تركت 00000,تركت ,Left
وإذا 00000,وإذا ,If
الوغد 00000,الوغد ,villain
اخرج 00000,اخرج ,Get out
تبحث 00000,تبحث ,Look
المكتب 00000,المكتب ,the desk
أنتما 00000,أنتما ,you
ماهو 00000,ماهو ,What is the
مـن 00000,مـن ,From
يموت 00000,يموت ,Dies
تخرج 00000,تخرج ,Graduation
اسمك 00000,اسمك ,Your Name
امي 00000,امي ,my mother
حاجة 00000,حاجة ,need
القصة 00000,القصة ,the story
اشعر 00000,اشعر ,I feel
أنظري 00000,أنظري ,Look at
عدت 00000,عدت ,I returned
مازلت 00000,مازلت ,I am still
السيطرة 00000,السيطرة ,the control
علمت 00000,علمت ,I learned
تستطيعين 00000,تستطيعين ,you can
إني 00000,إني ,that I
عاد 00000,عاد ,is back
إعادة 00000,إعادة ,re
زوجي 00000,زوجي ,my husband
arabic 00000,arabic ,Arabic
الفرصة 00000,الفرصة ,the opportunity
كلنا 00000,كلنا ,all of us
بالكامل 00000,بالكامل ,In full
القهوة 00000,القهوة ,Coffee
العميل 00000,العميل ,Client
شي 00000,شي ,something
ولقد 00000,ولقد ,And
تبا 00000,تبا ,Die
صديقك 00000,صديقك ,Your friend
المعذرة 00000,المعذرة ,Excuse me
قائمة 00000,قائمة ,existing
ابني 00000,ابني ,my son
أسفل 00000,أسفل ,lowest
مساء 00000,مساء ,evening
أعد 00000,أعد ,Prepared
وضعت 00000,وضعت ,Developed
هراء 00000,هراء ,Bullshit
العثور 00000,العثور ,Find
أطلق 00000,أطلق ,Release
بالداخل 00000,بالداخل ,Inside
قوة 00000,قوة ,Energy
نيك 00000,نيك ,Nick
وراء 00000,وراء ,behind
حقيقية 00000,حقيقية ,Real
خطة 00000,خطة ,plan
عندك 00000,عندك ,you have
حينها 00000,حينها ,Then
ترغب 00000,ترغب ,You wish
بماذا 00000,بماذا ,with what
حتي 00000,حتي ,until
مهمة 00000,مهمة ,a task
ولكنك 00000,ولكنك ,But you
أسف 00000,أسف ,Sorry
قاتل 00000,قاتل ,killer
نجد 00000,نجد ,We find
أرغب 00000,أرغب ,I want
موقع 00000,موقع ,Site
عدا 00000,عدا ,Ever
النقود 00000,النقود ,Cash
مجددا 00000,مجددا ,again
رأسك 00000,رأسك ,Your head
أعرفه 00000,أعرفه ,I know him
إمرأة 00000,إمرأة ,a woman
ام 00000,ام ,Mother
معى 00000,معى ,with me
السفينة 00000,السفينة ,the ship
تقلقي 00000,تقلقي ,Agent
يصبح 00000,يصبح ,Become
المشاكل 00000,المشاكل ,Problems
معلومات 00000,معلومات ,informations
تملك 00000,تملك ,Ownership
عندها 00000,عندها ,Then
يجعل 00000,يجعل ,Makes
منزلي 00000,منزلي ,My house
نظام 00000,نظام ,System
تبدأ 00000,تبدأ ,start
بعيد 00000,بعيد ,far
أخبر 00000,أخبر ,Tell
فإن 00000,فإن ,Be
تجد 00000,تجد ,You find
ضع 00000,ضع ,Put
تحرك 00000,تحرك ,Move
الأخبار 00000,الأخبار ,News
كثيرة 00000,كثيرة ,a lot
البحر 00000,البحر ,the sea
ماتت 00000,ماتت ,she died
تعلمون 00000,تعلمون ,You know
البارحة 00000,البارحة ,yesterday
كوني 00000,كوني ,Universal
نقطة 0000,نقطة ,Point
الميلاد 0000,الميلاد ,Birth
القديم 0000,القديم ,the old
تود 0000,تود ,You want
قلبي 0000,قلبي ,My heart
محاولة 0000,محاولة ,attempt
رؤيتك 0000,رؤيتك ,seeing you
أجلك 0000,أجلك ,To
تمت 0000,تمت ,Dutly
إيجاد 0000,إيجاد ,finding
البشر 0000,البشر ,Humans
أخبار 0000,أخبار ,News
تزال 0000,تزال ,Remove
جيمس 0000,جيمس ,James
الغد 0000,الغد ,tomorrow
أملك 0000,أملك ,Give up
القيادة 0000,القيادة ,Leadership
الكبيرة 0000,الكبيرة ,Great
للأبد 0000,للأبد ,Forever
سي 0000,سي ,bad
أستطع 0000,أستطع ,I can
ارجوك 0000,ارجوك ,I beg you
ال 0000,ال ,The
غبي 0000,غبي ,Stupid
إلينا 0000,إلينا ,To us
fnadobe 0000,fnadobe ,Fnadobe
لكى 0000,لكى ,in order to
عملك 0000,عملك ,Your work
جيم 0000,جيم ,Jim
الأرجح 0000,الأرجح ,Most likely
المحكمة 0000,المحكمة ,Court
خائفة 0000,خائفة ,Scared
يبدوا 0000,يبدوا ,seems
العاهرة 0000,العاهرة ,Prostitute
خائف 0000,خائف ,Afraid
ولد 0000,ولد ,Boy
انتم 0000,انتم ,you
احب 0000,احب ,Loved
t 0000,t ,t
الشركة 0000,الشركة ,Company
دعينا 0000,دعينا ,Leave us
يستحق 0000,يستحق ,Deserves
تريده 0000,تريده ,You want it
إطلاق 0000,إطلاق ,release
أفعله 0000,أفعله ,Do it
الحالة 0000,الحالة ,the condition
أتى 0000,أتى ,came
كلما 0000,كلما ,whenever
قامت 0000,قامت ,Stand
يكونوا 0000,يكونوا ,They are
قريب 0000,قريب ,Close
الدماء 0000,الدماء ,Bloodshed
الأحمق 0000,الأحمق ,the fool
خاص 0000,خاص ,Special
الملابس 0000,الملابس ,Clothing
أسابيع 0000,أسابيع ,Weeks
خيار 0000,خيار ,Cucumber
قلته 0000,قلته ,I said it
انظروا 0000,انظروا ,Look
كلارك 0000,كلارك ,Clark
لبعض 0000,لبعض ,For some
ميل 0000,ميل ,Mile
أعلى 0000,أعلى ,higher
تغيير 0000,تغيير ,changing
الحفلة 0000,الحفلة ,the party
الجيش 0000,الجيش ,Army
صاحب 0000,صاحب ,owner
بنفس 0000,بنفس ,With the same
القلب 0000,القلب ,the heart
عائلتي 0000,عائلتي ,my family
حياته 0000,حياته ,His life
يمكنها 0000,يمكنها ,It can
حفل 0000,حفل ,Ceremony
منطقة 0000,منطقة ,region
معنى 0000,معنى ,meaning of
يتعلق 0000,يتعلق ,Regard
تموت 0000,تموت ,you die
سبق 0000,سبق ,Precedent
أولا 0000,أولا ,Or not
الغير 0000,الغير ,Uninterrupted
إثنان 0000,إثنان ,two
اثنان 0000,اثنان ,two
القوة 0000,القوة ,Power
تحدثت 0000,تحدثت ,she spoke
بجانب 0000,بجانب ,Next to
اعني 0000,اعني ,I mean
السابقة 0000,السابقة ,Precedent
سنفعل 0000,سنفعل ,We will do
الكلب 0000,الكلب ,dog
بني 0000,بني ,brouwn
السابق 0000,السابق ,Previous
للحصول 0000,للحصول ,to get
الهدف 0000,الهدف ,Target
الموسيقى 0000,الموسيقى ,Music
الأكثر 0000,الأكثر ,More
القول 0000,القول ,Steering
احتاج 0000,احتاج ,I need
أما 0000,أما ,As for
الطابق 0000,الطابق ,Floor
صندوق 0000,صندوق ,Box
العيش 0000,العيش ,Living
زوجة 0000,زوجة ,wife
لأننا 0000,لأننا ,Because we are
برنامج 0000,برنامج ,a program
الحمام 0000,الحمام ,the toilet
الامور 0000,الامور ,Things
اظن 0000,اظن ,I suspect
أشخاص 0000,أشخاص ,People
مضى 0000,مضى ,Go ahead
قدم 0000,قدم ,Foot
يديك 0000,يديك ,Your hands
الخط 0000,الخط ,Line
لمن 0000,لمن ,Whose
ديفيد 0000,ديفيد ,David
اللعينة 0000,اللعينة ,Later
مكانك 0000,مكانك ,Your place
بى 0000,بى ,with me
الإتصال 0000,الإتصال ,Connection
بالكاد 0000,بالكاد ,barely
تقريبا 0000,تقريبا ,Approximately
اللعنه 0000,اللعنه ,the curse
الأخير 0000,الأخير ,the last one
حد 0000,حد ,Limit
أخبرتني 0000,أخبرتني ,you told me
وظيفة 0000,وظيفة ,Function
فأنت 0000,فأنت ,You are
ظهر 0000,ظهر ,Back
ابتعد 0000,ابتعد ,step away
تقل 0000,تقل ,Decrease
فلن 0000,فلن ,They will not
كتاب 0000,كتاب ,book
يجدر 0000,يجدر ,It is worthy of
ولكنها 0000,ولكنها ,But
السلاح 0000,السلاح ,Arms
نبدأ 0000,نبدأ ,We start
هدية 0000,هدية ,gift
وجدنا 0000,وجدنا ,We found
أذا 0000,أذا ,if
مثيرة 0000,مثيرة ,Exciting
نعمل 0000,نعمل ,We do
لاحقا 0000,لاحقا ,Later
فهذا 0000,فهذا ,This is
غريبة 0000,غريبة ,Strange
بيلي 0000,بيلي ,Bic
دور 0000,دور ,Role
الثالث 0000,الثالث ,Third
ويل 0000,ويل ,Woe
جعل 0000,جعل ,make
وهم 0000,وهم ,delusion
بالله 0000,بالله ,God
الهراء 0000,الهراء ,Nonsense
سلاح 0000,سلاح ,a weapon
الخلف 0000,الخلف ,Back
قريبا 0000,قريبا ,almost
قطع 0000,قطع ,to cut
أنكم 0000,أنكم ,You are
سنقوم 0000,سنقوم ,We will rise
حبيبي 0000,حبيبي ,Darling
أمريكا 0000,أمريكا ,America
كلانا 0000,كلانا ,both of us
الكفاية 0000,الكفاية ,Adequacy
â 0000,â ,â
مايرام 0000,مايرام ,Okay
الأمن 0000,الأمن ,Security
خرجت 0000,خرجت ,I went out
مارك 0000,مارك ,Mark
وإلا 0000,وإلا ,Otherwise
نبحث 0000,نبحث ,We are looking
لديكم 0000,لديكم ,You have
الفيلم 0000,الفيلم ,the film
مريض 0000,مريض ,Sick
لوس 0000,لوس ,Los
الصوت 0000,الصوت ,the sound
أتصل 0000,أتصل ,Call
قوية 0000,قوية ,Powerful
وكنت 0000,وكنت ,I was
الشاب 0000,الشاب ,the guy
الجميلة 0000,الجميلة ,the beautiful
ألن 0000,ألن ,Aller
المتحدة 0000,المتحدة ,United
عادة 0000,عادة ,usually
طريقي 0000,طريقي ,Route
شعور 0000,شعور ,Feeling
سأتصل 0000,سأتصل ,I will call
أخشى 0000,أخشى ,Be afraid
أراد 0000,أراد ,want
فهم 0000,فهم ,Understanding
وذلك 0000,وذلك ,And that
ارى 0000,ارى ,I see
معظم 0000,معظم ,Most
الكرة 0000,الكرة ,the ball
التعامل 0000,التعامل ,Interaction
نخرج 0000,نخرج ,We get out
سماع 0000,سماع ,Hearing
رائحة 0000,رائحة ,going
أهلا 0000,أهلا ,Hello
السيارات 0000,السيارات ,the cars
العجوز 0000,العجوز ,Elderly
ولو 0000,ولو ,Even
أعدك 0000,أعدك ,I promise you
السرير 0000,السرير ,the bed
ليسوا 0000,ليسوا ,They are not
درجة 0000,درجة ,Degree
مثلي 0000,مثلي ,Like me
تصل 0000,تصل ,Reach
بالمناسبة 0000,بالمناسبة ,Incidentally
المبنى 0000,المبنى ,Building
المستقبل 0000,المستقبل ,the future
زوجته 0000,زوجته ,His wife
مال 0000,مال ,money
شون 0000,شون ,Shun
ماهذا 0000,ماهذا ,What is it
الثالثة 0000,الثالثة ,Third
عملت 0000,عملت ,I worked
فجأة 0000,فجأة ,suddenly
واحده 0000,واحده ,one
تتذكر 0000,تتذكر ,Remember
تناول 0000,تناول ,Eaten
أحضرت 0000,أحضرت ,I brought
المسيح 0000,المسيح ,The messiah
أترى 0000,أترى ,Do you see
وجهك 0000,وجهك ,your face
قادمة 0000,قادمة ,coming
أريده 0000,أريده ,want it
حسب 0000,حسب ,According to
والدتك 0000,والدتك ,your mom
المهمة 0000,المهمة ,the mission
لان 0000,لان ,Because
تعد 0000,تعد ,Prepare
موجودة 0000,موجودة ,present
نحصل 0000,نحصل ,We get
كريس 0000,كريس ,Chris
تمزح 0000,تمزح ,Joke
لربما 0000,لربما ,Perhaps
المياه 0000,المياه ,Water
النظام 0000,النظام ,the system
يفعله 0000,يفعله ,Do it
سخيف 0000,سخيف ,silly
وصل 0000,وصل ,receipt
السلامة 0000,السلامة ,safety
وجهي 0000,وجهي ,My face
الموسم 0000,الموسم ,season
مذهل 0000,مذهل ,just awesome
الأب 0000,الأب ,the father
نعود 0000,نعود ,We return
يأخذ 0000,يأخذ ,Takes
اللعب 0000,اللعب ,Play
وقال 0000,وقال ,And he said
تتحدثين 0000,تتحدثين ,You are talking
رغم 0000,رغم ,despite
الانتظار 0000,الانتظار ,Waiting
أيمكنك 0000,أيمكنك ,Can you
ھ 0000,ھ ,E
الرقص 0000,الرقص ,Dance
محقة 0000,محقة ,Right
أعتذر 0000,أعتذر ,I apologize
القبض 0000,القبض ,Arrest
بقدر 0000,بقدر ,As much
تتكلم 0000,تتكلم ,she speaks
هاتف 0000,هاتف ,phone
شعر 0000,شعر ,Poetry
ريتشارد 0000,ريتشارد ,Richard
والتي 0000,والتي ,Which
يخرج 0000,يخرج ,Out
أختي 0000,أختي ,My sister
اننى 0000,اننى ,I am
يظهر 0000,يظهر ,He appears
المحقق 0000,المحقق ,Investigator
ملابس 0000,ملابس ,Clothes
مجنونة 0000,مجنونة ,crazy
يهتم 0000,يهتم ,Cares about
صديقة 0000,صديقة ,Girlfriend
ابنتي 0000,ابنتي ,My daughter
الطاقة 0000,الطاقة ,energy
كلب 0000,كلب ,dog
ستعمل 0000,ستعمل ,You will work
فعلتها 0000,فعلتها ,I did
آل 0000,آل ,The
لنفسك 0000,لنفسك ,For yourself
لطالما 0000,لطالما ,As long as
الغداء 0000,الغداء ,the lunch
اليك 0000,اليك ,To
إسمع 0000,إسمع ,Listen
لندن 0000,لندن ,London
تجعل 0000,تجعل ,Make
بان 0000,بان ,Pas
اثنين 0000,اثنين ,two
متأخر 0000,متأخر ,late
مدرسة 0000,مدرسة ,School
أسبوع 0000,أسبوع ,week
بيتي 0000,بيتي ,my house
الظلام 0000,الظلام ,the darkness
القاضي 0000,القاضي ,the judge
نحاول 0000,نحاول ,we try
وسط 0000,وسط ,Center
يملك 0000,يملك ,Owns
سمحت 0000,سمحت ,Allowed
المهم 0000,المهم ,the important
يجعلك 0000,يجعلك ,make you
يصل 0000,يصل ,Reaches
تظهر 0000,تظهر ,Appear
بيني 0000,بيني ,Betni
تقولين 0000,تقولين ,You say
ستيف 0000,ستيف ,Steve
جانب 0000,جانب ,side
إحدى 0000,إحدى ,one
قلب 0000,قلب ,heart
للبيت 0000,للبيت ,Home
جنون 0000,جنون ,Madness
الولايات 0000,الولايات ,the states
تي 0000,تي ,T
يدك 0000,يدك ,Your hand
طعام 0000,طعام ,food
لرؤية 0000,لرؤية ,To see
الضوء 0000,الضوء ,the light
تتحرك 0000,تتحرك ,Move
تهتم 0000,تهتم ,care
قررت 0000,قررت ,she decided
يعرفون 0000,يعرفون ,They know
كنتم 0000,كنتم ,You were
اتصلت 0000,اتصلت ,I called
رأس 0000,رأس ,head
العملية 0000,العملية ,the operation
بطاقة 0000,بطاقة ,Card
التلفاز 0000,التلفاز ,the television
بداية 0000,بداية ,beginning
يبقى 0000,يبقى ,Remains
أخبريني 0000,أخبريني ,Tell me
أقوله 0000,أقوله ,I say it
الشعر 0000,الشعر ,Poetry
وإن 0000,وإن ,and that
ولماذا 0000,ولماذا ,And why
مزيد 0000,مزيد ,More
الأعلى 0000,الأعلى ,the above
اليه 0000,اليه ,mechanism
الرسالة 0000,الرسالة ,the message
دفع 0000,دفع ,Pay
مستعدة 0000,مستعدة ,ready
s 0000,s ,s
الحكومة 0000,الحكومة ,the government
قمنا 0000,قمنا ,We did
اردت 0000,اردت ,I wanted
أجلي 0000,أجلي ,Evangelical
واثق 0000,واثق ,Confident
ساعدني 0000,ساعدني ,help me
تغير 0000,تغير ,change
تريدني 0000,تريدني ,You want me
اذهبي 0000,اذهبي ,Go
هاري 0000,هاري ,Harry
روبرت 0000,روبرت ,Robert
الرغم 0000,الرغم ,Thus
الفندق 0000,الفندق ,the hotel
أصدقائي 0000,أصدقائي ,my friends
كاملة 0000,كاملة ,perfect
إنتهى 0000,إنتهى ,is over
حل 0000,حل ,Solution
معكم 0000,معكم ,With you
الأم 0000,الأم ,the mother
الحيوانات 0000,الحيوانات ,the animals
طيب 0000,طيب ,good
فهي 0000,فهي ,Be
سأقول 0000,سأقول ,I will say
للذهاب 0000,للذهاب ,To go
الرقم 0000,الرقم ,the number
الآنسة 0000,الآنسة ,Miss
وهناك 0000,وهناك ,There
أتفهم 0000,أتفهم ,I understand
تومي 0000,تومي ,Tommy
القطار 0000,القطار ,the train
سكوت 0000,سكوت ,Scott
تشعرين 0000,تشعرين ,You feel
أتعرفين 0000,أتعرفين ,You know
مـا 0000,مـا ,What
to 0000,to ,To
هاي 0000,هاي ,Hi
الأسئلة 0000,الأسئلة ,questions
يدعى 0000,يدعى ,he claims
آمن 0000,آمن ,security
القتال 0000,القتال ,Fighting
حب 0000,حب ,Love
يمكنهم 0000,يمكنهم ,They can
لحم 0000,لحم ,Meat
قوله 0000,قوله ,Saying
دان 0000,دان ,Condemn
شخصية 0000,شخصية ,Character
تسمع 0000,تسمع ,Listen
الخطة 0000,الخطة ,the plan
شرطي 0000,شرطي ,policeman
يدي 0000,يدي ,my hand
صور 0000,صور ,photo
رأسي 0000,رأسي ,my head
أليكس 0000,أليكس ,Alex
كيفية 0000,كيفية ,How to
عظيمة 0000,عظيمة ,Great
بسيط 0000,بسيط ,basic
أعيش 0000,أعيش ,I live
جاد 0000,جاد ,serious
وصلنا 0000,وصلنا ,We arrived
ملك 0000,ملك ,king
فتيات 0000,فتيات ,girls
يشعر 0000,يشعر ,Feel
أشكرك 0000,أشكرك ,I thank you
بوبي 0000,بوبي ,Bobby
والتر 0000,والتر ,Wall
الأعمال 0000,الأعمال ,Business
دماء 0000,دماء ,Blood
القدم 0000,القدم ,Foot
الغابة 0000,الغابة ,Woods
المدير 0000,المدير ,Director
حرب 0000,حرب ,war
استخدام 0000,استخدام ,Use
اكن 0000,اكن ,I am
ثمة 0000,ثمة ,There is
عمله 0000,عمله ,Currency
أبدو 0000,أبدو ,Appear
امر 0000,امر ,Command
تضع 0000,تضع ,Put
أبى 0000,أبى ,My Father
اتمنى 0000,اتمنى ,I wish
أيمكنني 0000,أيمكنني ,I can
فـي 0000,فـي ,In
مثلما 0000,مثلما ,as
الأولاد 0000,الأولاد ,Boys
بالعمل 0000,بالعمل ,To work
سأخبرك 0000,سأخبرك ,I will tell you
وربما 0000,وربما ,Perhaps
العمر 0000,العمر ,the age
الرائع 0000,الرائع ,Amazing
خاطئ 0000,خاطئ ,wrong
كـ 0000,كـ ,As
حصلنا 0000,حصلنا ,We got
تقوله 0000,تقوله ,You say
قلق 0000,قلق ,Worry
اللحم 0000,اللحم ,the meat
شراب 0000,شراب ,drink
بن 0000,بن ,The son of
مسألة 0000,مسألة ,Issue
بعضهم 0000,بعضهم ,Some of them
تتوقف 0000,تتوقف ,Stop
موافقة 0000,موافقة ,consent
أرسل 0000,أرسل ,Send
الشيطان 0000,الشيطان ,evil
أدخل 0000,أدخل ,Enter
ألديك 0000,ألديك ,Your father
تتصل 0000,تتصل ,Call
فكر 0000,فكر ,thought
خدمة 0000,خدمة ,service
by 0000,by ,By
سرقة 0000,سرقة ,theft
أ 0000,أ ,a
باريس 0000,باريس ,Paris
القمر 0000,القمر ,the moon
ستذهب 0000,ستذهب ,you will go
تنتهي 0000,تنتهي ,End
تاريخ 0000,تاريخ ,Date
معذرة 0000,معذرة ,Sorry
تقولي 0000,تقولي ,Say
أراهن 0000,أراهن ,I bet
أبقى 0000,أبقى ,Keep
كلير 0000,كلير ,Chin
عاهرة 0000,عاهرة ,whore
دين 0000,دين ,religion
آي 0000,آي ,Which
هاه 0000,هاه ,Huh
ثمن 0000,ثمن ,price
الدفاع 0000,الدفاع ,Defense
أتريدين 0000,أتريدين ,You want
ليلي 0000,ليلي ,Layla
سيئ 0000,سيئ ,bad
عد 0000,عد ,counting
المفضل 0000,المفضل ,the favorite
بالإضافة 0000,بالإضافة ,In addition
قالوا 0000,قالوا ,They said
الكنيسة 0000,الكنيسة ,the church
البلاد 0000,البلاد ,Country
ومع 0000,ومع ,With
سيتم 0000,سيتم ,Will
قوي 0000,قوي ,strong
اهلا 0000,اهلا ,Hello
بأمان 0000,بأمان ,Safely
جاهزة 0000,جاهزة ,Ready
حماية 0000,حماية ,protection
اسمها 0000,اسمها ,Her name
الصف 0000,الصف ,Class
خط 0000,خط ,Line
التالية 0000,التالية ,next
لنرى 0000,لنرى ,Let's see
الكل 0000,الكل ,All
أثق 0000,أثق ,Make up
الكلمات 0000,الكلمات ,the words
حالما 0000,حالما ,as soon as
تسير 0000,تسير ,going
الشراب 0000,الشراب ,the drink
الجميل 0000,الجميل ,Beautiful
اجلس 0000,اجلس ,sat down
تعرفي 0000,تعرفي ,Know
منى 0000,منى ,Mona
